Date,Open,High,Low,Close,Adj Close,Volume,Close Diff Prev Day,Number of Tweets,average_sentiment,Stock Name_AAPL,Stock Name_AMD,Stock Name_AMZN,Stock Name_BA,Stock Name_BX,Stock Name_COST,Stock Name_CRM,Stock Name_DIS,Stock Name_ENPH,Stock Name_F,Stock Name_GOOG,Stock Name_INTC,Stock Name_KO,Stock Name_META,Stock Name_MSFT,Stock Name_NFLX,Stock Name_NIO,Stock Name_NOC,Stock Name_PG,Stock Name_PYPL,Stock Name_TSLA,Stock Name_VZ,Stock Name_XPEV,Stock Name_ZS
2021-10-01,259.4666748,260.2600098,254.5299988,258.4066772,258.4066772,51094200,-0.08667000000002645,94.0,0.23360531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-04,265.5,268.9899902,258.706665,260.5100098,260.5100098,91449900,2.1033325999999875,119.0,0.13407899159663864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-05,261.6000061,265.769989,258.0666809,260.1966553,260.1966553,55297800,-0.31335450000000264,88.0,0.08550227272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-06,258.7333374,262.2200012,257.7399902,260.9166565,260.9166565,43898400,0.7200012000000129,78.0,0.21946282051282048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-07,261.8200073,268.3333435,261.1266785,264.5366821,264.5366821,57587400,3.6200256000000195,137.0,0.19317883211678832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-08,265.4033203,265.4599915,260.3033447,261.8299866,261.8299866,50215800,-2.7066955000000235,90.0,0.22215666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-11,262.5499878,267.0799866,261.8333435,263.980011,263.980011,42600900,2.1500244000000066,95.0,0.20568631578947366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-12,266.9766541,270.7733459,265.5233459,268.5733337,268.5733337,66060000,4.593322699999987,115.0,0.1937295652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-13,270.1566772,271.8033447,268.5933228,270.3599854,270.3599854,42360300,1.78665170000005,87.0,0.16159080459770114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-14,271.8299866,273.4166565,271.1166687,272.7733459,272.7733459,36741600,2.4133604999999534,107.0,0.16172429906542057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-15,274.5799866,281.0700073,274.1166687,281.0100098,281.0100098,56773800,8.236663899999996,142.0,0.08691760563380281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-18,283.9299927,291.7533264,283.8233337,290.0366821,290.0366821,72621600,9.02667230000003,148.0,0.2231304054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-19,292.5100098,292.6499939,287.5033264,288.0899963,288.0899963,52143300,-1.9466858000000116,112.0,0.15783035714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-20,288.4500122,289.8299866,285.793335,288.6000061,288.6000061,42096300,0.5100097999999775,174.0,0.1059919540229885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-21,285.3333435,300.0,285.1666565,298.0,298.0,94444500,9.399993900000027,180.0,0.18605666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-22,298.5,303.3333435,296.9866638,303.2266541,303.2266541,68642400,5.226654100000019,167.0,0.2108455089820359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-25,316.8433228,348.3399963,314.7333374,341.6199951,341.6199951,188556300,38.393340999999964,462.0,0.20890454545454548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-26,341.563324,364.980011,333.813324,339.4766541,339.4766541,187245000,-2.143340999999964,238.0,0.18419369747899159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-27,346.5533447,356.9599915,343.5933228,345.9533386,345.9533386,115579500,6.476684499999976,177.0,0.14042429378531074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-28,356.1033325,360.3333435,351.3999939,359.0133362,359.0133362,81639600,13.059997600000031,125.0,0.1899768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-29,360.6199951,371.7366638,357.7366638,371.3333435,371.3333435,89755200,12.320007299999986,189.0,0.1419047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-01,381.6666565,403.25,372.8866577,402.8633423,402.8633423,168146100,31.529998799999987,261.0,0.21455938697318008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-02,386.4533386,402.8633423,382.0,390.6666565,390.6666565,128213400,-12.196685800000012,205.0,0.16648097560975608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-03,392.4433289,405.1300049,384.206665,404.6199951,404.6199951,103885500,13.953338599999995,130.0,0.16490846153846153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-04,411.4700012,414.4966736,405.6666565,409.9700012,409.9700012,76192200,5.35000610000003,149.0,0.21021275167785236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-05,409.3333435,413.2900085,402.6666565,407.3633423,407.3633423,64886400,-2.6066589000000135,89.0,0.22659662921348317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-08,383.2633362,399.0,377.6666565,387.6466675,387.6466675,100337100,-19.71667480000002,217.0,0.15448801843317972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-09,391.2000122,391.5,337.1733398,341.1666565,341.1666565,177317400,-46.48001099999999,201.0,0.1631452736318408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-10,336.8033447,359.3666687,329.1033325,355.9833374,355.9833374,128408100,14.816680899999994,189.0,0.17293544973544975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-11,367.5899963,368.3233337,351.5599976,354.5033264,354.5033264,67189800,-1.4800109999999904,151.0,0.24988940397350992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-12,349.1666565,351.5,339.7333374,344.4733276,344.4733276,76719300,-10.029998799999987,129.0,0.24743798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-15,339.2099915,343.9933472,326.2000122,337.7966614,337.7966614,104326800,-6.6766662,151.0,0.16138079470198677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-16,334.436676,352.3999939,334.0599976,351.5766602,351.5766602,79627200,13.779998799999987,129.0,0.1766922480620155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-17,354.5033264,373.2133179,351.8333435,363.0033264,363.0033264,94336200,11.4266662,113.0,0.20456637168141592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-18,368.8500061,370.6666565,358.3399963,365.4599915,365.4599915,62696700,2.4566651000000093,128.0,0.173521875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-19,366.2900085,379.5733337,364.2333374,379.019989,379.019989,64926900,13.559997500000009,123.0,0.1875430894308943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-22,387.4433289,400.6499939,377.4766541,385.6233215,385.6233215,99217500,6.603332499999965,124.0,0.2085467741935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-23,389.1700134,393.5,354.2333374,369.6766663,369.6766663,108515100,-15.946655199999952,126.0,0.19889841269841269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-24,360.1300049,377.5899963,354.0,372.0,372.0,67680600,2.323333699999978,98.0,0.25116122448979594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-26,366.4899902,369.5933228,360.3333435,360.6400146,360.6400146,35042700,-11.359985400000028,87.0,0.1096632183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-29,366.9966736,380.8900146,366.730011,378.9966736,378.9966736,58393500,18.356659000000036,97.0,0.16719690721649486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-11-30,381.456665,389.3333435,372.6666565,381.5866699,381.5866699,81276000,2.5899962999999957,98.0,0.13669795918367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-01,386.8999939,390.9466553,363.5866699,365.0,365.0,68450400,-16.586669900000004,115.0,0.16709652173913045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-02,366.3533325,371.0,352.2166748,361.5333252,361.5333252,73114800,-3.466674800000021,116.0,0.1209801724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-03,361.5966797,363.5266724,333.4033203,338.3233337,338.3233337,92322000,-23.2099915,117.0,0.17647350427350428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-06,333.8366699,340.5466614,316.8333435,336.3366699,336.3366699,81663000,-1.986663799999974,161.0,0.1889577639751553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-07,348.0666809,352.5566711,342.269989,350.5833435,350.5833435,56084700,14.246673600000008,116.0,0.16369655172413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-08,350.9033203,357.4599915,344.3333435,356.3200073,356.3200073,41906400,5.736663799999974,102.0,0.2789990196078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-09,353.5466614,354.1633301,334.1199951,334.6000061,334.6000061,59438400,-21.720001200000013,107.0,0.10705700934579439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-10,336.25,340.3266602,327.5100098,339.0100098,339.0100098,59664300,4.410003700000004,109.0,0.23513394495412843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-13,333.6966553,335.0,317.1400146,322.1366577,322.1366577,78595500,-16.873352099999977,132.0,0.16433484848484847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-14,315.0,322.1366577,310.0,319.5033264,319.5033264,70806300,-2.633331300000009,133.0,0.12875488721804512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-15,317.7366638,326.25,309.4166565,325.3299866,325.3299866,75169200,5.826660199999992,102.0,0.18892352941176468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-16,331.5,331.6600037,307.2833252,308.9733276,308.9733276,82771500,-16.35665899999998,114.0,0.21960877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-17,304.9233398,320.2200012,303.0133362,310.8566589,310.8566589,100437300,1.883331300000009,113.0,0.19887522123893805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-20,303.5666809,307.230011,297.7966614,299.980011,299.980011,56480100,-10.876647900000023,102.0,0.12608039215686276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-21,305.6233215,313.1666565,295.3733215,312.8433228,312.8433228,71517900,12.86331180000002,102.0,0.12981764705882354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-22,321.8866577,338.5533447,319.0166626,336.2900085,336.2900085,93634200,23.44668569999999,167.0,0.20290718562874252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-23,335.6000061,357.6600037,332.519989,355.6666565,355.6666565,92713200,19.37664799999999,154.0,0.22168246753246754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-27,357.8900146,372.3333435,356.9066772,364.6466675,364.6466675,71145900,8.98001099999999,116.0,0.17277413793103447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-28,369.8299866,373.0,359.4733276,362.8233337,362.8233337,60324000,-1.8233338000000003,105.0,0.22839809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-29,366.2133179,368.0,354.7133179,362.063324,362.063324,56154000,-0.760009699999955,167.0,0.14017724550898203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-30,353.7766724,365.1833191,351.0499878,356.7799988,356.7799988,47040900,-5.283325200000036,123.0,0.10571951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-31,357.813324,360.6666565,351.5299988,352.2600098,352.2600098,40733700,-4.51998900000001,128.0,0.1776875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-03,382.5833435,400.3566589,378.6799927,399.9266663,399.9266663,103931400,47.666656500000045,307.0,0.14482312703583064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-04,396.5166626,402.6666565,374.3500061,383.1966553,383.1966553,100248300,-16.730011000000047,140.0,0.08949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-05,382.2166748,390.1133423,360.3366699,362.706665,362.706665,80119800,-20.489990299999988,154.0,0.1186487012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-06,359.0,362.6666565,340.1666565,354.8999939,354.8999939,90336600,-7.80667109999996,117.0,0.14082649572649575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-07,360.1233215,360.3099976,336.6666565,342.3200073,342.3200073,84164700,-12.57998660000004,135.0,0.10427777777777779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
